statement	avg_latency_ms	symbol_accuracy	core_coverage	avg_tap_eff
were → “Where were you?”		100%	100%	1
any → “Do you have any?”		100%	100%	1
about → “What is it about?”		100%	50%	1
them → “Give it to them.”		66.67%	66.67%	1
an → “Do you want an apple?”		83.33%	83.33%	1
does → “Does it work?”		83.33%	66.67%	1
one → “Do you want one?”		100%	100%	1
yes → “Is that yes?”		100%	20%	1
had → “What did you had?”		100%	16.67%	1
see → “Do you see it?”		83.33%	66.67%	1
think → “What do you think?”		100%	50%	1
use → “How do you use it?”		100%	50%	1
watch → “Watch this.”		100%	100%	1
take → “Can you take it?”		100%	83.33%	1
first → “Who goes first?”		100%	100%	1
his → “Is it his?”		80%	80%	1
other → “Do you want the other?”		100%	100%	1
hey → “Say hey.”		80%	0%	1
these → “Do you want these?”		100%	100%	1
those → “Do you want those?”		100%	83.33%	1
would → “Would you like it?”		100%	83.33%	1
doing → “What are you doing?”		100%	0%	1
has → “Who has it?”		83.33%	66.67%	1
sit → “Can you sit?”		100%	80%	1
show → “Show me.”		100%	100%	1
day → “How was your day?”		100%	16.67%	1
next → “What is next?”		100%	83.33%	1
then → “What happens then?”		83.33%	83.33%	1
made → “Who made it?”		80%	20%	1
feel → “How do you feel?”		100%	50%	1
two → “Do you want two?”		100%	83.33%	1
way → “Which way?”		100%	33.33%	1
goes → “Where goes it?”		80%	40%	1
said → “What did he said?”		66.67%	16.67%	1
went → “Where did you went?”		50%	16.67%	1
done → “Are you done?”		100%	50%	1
let → “Let me try.”		100%	60%	1
let's → “Let’s go.”		100%	66.67%	1
name → “What is your name?”		50%	16.67%	1
baby → “Is it a baby?”		100%	66.67%	1
three → “Do you want three?”		100%	80%	1
only → “Is this only?”		100%	100%	1
than → “Is it bigger than?”		50%	50%	1
better → “Is it better?”		100%	50%	1
which → “Which one?”		40%	40%	1
it's → “Is it ready?”		83.33%	83.33%	1
bad → “Is it bad?”		100%	80%	1
from → “Where is it from?”		100%	50%	1
our → “Is it our turn?”		83.33%	83.33%	1
another → “Do you want another?”		100%	100%	1
something → “Do you need something?”		83.33%	66.67%	1
us → “Is it for us?”		66.67%	50%	1
five → “Do you want five?”		100%	83.33%	1
just → “Just wait.”		100%	100%	1
new → “Is it new?”		66.67%	50%	1
found → “What did you found?”		66.67%	50%	1
back → “Go back.”		100%	83.33%	1
write → “Can you write it?”		83.33%	66.67%	1
okay → “Is it okay?”		100%	66.67%	1
last → “Is this the last?”		100%	100%	1
mom → “Where is mom?”		60%	60%	1
home → “Go home.”		100%	100%	1
house → “Is it at the house?”		100%	100%	1
things → “Do you like things?”		50%	50%	1
yet → “Are you ready yet?”		80%	60%	1
call → “Can you call?”		100%	83.33%	1
hand → “Raise your hand.”		60%	60%	1
saw → “What did you saw?”		16.67%	0%	1
almost → “Is it almost done?”		66.67%	50%	1
around → “Look around.”		100%	66.67%	1
else → “Anything else?”		100%	100%	1
guys → “Hey guys.”		40%	0%	1
myself → “I can do it myself.”		20%	20%	1
nice → “Isn’t that nice?”		66.67%	33.33%	1
many → “How many?”		33.33%	16.67%	1
maybe → “Maybe later.”		100%	40%	1
too → “Me too.”		40%	40%	1
green → “Is it green?”		66.67%	50%	1
same → “Is it the same?”		60%	40%	1
making → “What are you making?”		50%	16.67%	1
isn't → “Isn’t it working?”		100%	66.67%	1
they're → “Where are they?”		83.33%	50%	1
try → “Do you want to try?”		100%	100%	1
got → “What did you got?”		50%	16.67%	1
didn't → “Did it not happen?”		80%	40%	1
fall → “Did you fall?”		100%	66.67%	1
move → “Can you move?”		100%	100%	1
ball → “Do you want the ball?”		100%	100%	1
car → “Is that your car?”		100%	50%	1
lunch → “What is for lunch?”		16.67%	16.67%	1
thing → “What is that thing?”		66.67%	33.33%	1
less → “Do you want less?”		80%	80%	1
aren't → “Aren’t you ready?”		100%	83.33%	1
hands → “Show me your hands.”		66.67%	50%	1
boy → “Is that a boy?”		83.33%	50%	1
girl → “Is that a girl?”		66.67%	50%	1
paint → “Do you want to paint?”		83.33%	83.33%	1
both → “Do you want both?”		83.33%	83.33%	1
man → “Is that the man?”		83.33%	50%	1
bathroom → “Do you need the bathroom?”		100%	100%	1
hot → “Is it hot?”		50%	50%	1
under → “Is it under?”		83.33%	83.33%	1
every → “Does every one have it?”		50%	50%	1
four → “Do you want four?”		100%	80%	1
hello → “Say hello.”		40%	0%	1
oh → “Say oh.”		80%	80%	1
ready → “Are you ready?”		100%	83.33%	1
black → “Is it black?”		66.67%	50%	1
old → “Is it old?”		50%	33.33%	1
trying → “What are you trying?”		33.33%	33.33%	1
having → “What are you having?”		100%	50%	1
doesn't → “Does it not work?”		83.33%	66.67%	1
that's → “Is that right?”		66.67%	33.33%	1
there's → “Is there something?”		83.33%	83.33%	1
what's → “What is it?”		100%	50%	1
you're → “You are what?”		100%	83.33%	1
yours → “Is it yours?”		100%	83.33%	1
few → “Do you want a few?”		83.33%	83.33%	1
blue → “Is it blue?”		66.67%	50%	1
comes → “When comes it?”		80%	40%	1
came → “When did it come?”		100%	40%	1
ones → “Which ones?”		16.67%	16.67%	1
leaves → “Do the leaves fall?”		33.33%	33.33%	1
lot → “Is it a lot?”		60%	60%	1
well → “Are you feeling well?”		100%	33.33%	1
people → “Are there people?”		40%	40%	1
water → “Do you want water?”		100%	100%	1
kind → “What kind?”		33.33%	33.33%	1
long → “Is it long?”		66.67%	50%	1
fire → “Is there a fire?”		100%	66.67%	1
head → “Does your head hurt?”		83.33%	83.33%	1
mean → “What do you mean?”		33.33%	0%	1
shoe → “Is that your shoe?”		100%	66.67%	1
happy → “Are you happy?”		50%	33.33%	1
everybody → “Is everybody here?”		66.67%	50%	1
hi → “Say hi.”		66.67%	0%	1
i'll → “I will do it.”		50%	33.33%	1
i'm → “I am ready.”		66.67%	50%	1
question → “Do you have a question?”		100%	66.67%	1
really → “Is that really true?”		66.67%	33.33%	1
she's → “She is coming?”		83.33%	50%	1
still → “Is it still on?”		80%	40%	1
top → “Is it on top?”		66.67%	66.67%	1
red → “Is it red?”		60%	40%	1
their → “Is it their turn?”		83.33%	83.33%	1
love → “Do you love it?”		83.33%	83.33%	1
looking → “What are you looking for?”		50%	33.33%	1
wants → “Who wants it?”		83.33%	83.33%	1
read → “Can you read it?”		83.33%	83.33%	1
color → “What color is it?”		0%	0%	1
cool → “Isn’t that cool?”		60%	40%	1
juice → “Do you want juice?”		100%	100%	1
